Symbol,Type,Source_File,Rows,Start_Date,End_Date,Average_Volume
FTAI,Stock,data/historical/stocks/FTAI.csv,6075,1996-01-03,2020-04-01,335438096.1646091
AAPL,Stock,data/historical/stocks/AAPL.csv,9909,1980-12-12,2020-04-01,85829159.2996266
SPY,ETF,data/historical/etfs/SPY.csv,6843,1993-01-29,2020-04-01,84627323.81996201
QQQ,ETF,data/historical/etfs/QQQ.csv,5301,1999-03-10,2020-04-01,69327725.78758724
MSFT,Stock,data/historical/stocks/MSFT.csv,8584,1986-03-13,2020-04-01,60394850.01164958
CSCO,Stock,data/historical/stocks/CSCO.csv,7589,1990-02-16,2020-04-01,56801875.97838978
XLF,ETF,data/historical/etfs/XLF.csv,5353,1998-12-22,2020-04-01,56509660.5268074
FAS,ETF,data/historical/etfs/FAS.csv,2860,2008-11-19,2020-04-01,55438394.40559441
INTC,Stock,data/historical/stocks/INTC.csv,10098,1980-03-17,2020-04-01,51774041.77064765
EEM,ETF,data/historical/etfs/EEM.csv,4272,2003-04-14,2020-04-01,50939106.78838951
ORCL,Stock,data/historical/stocks/ORCL.csv,8585,1986-03-12,2020-04-01,38789189.49330227
EBAY,Stock,data/historical/stocks/EBAY.csv,5415,1998-09-24,2020-04-01,37971615.715604804
BAC,Stock,data/historical/stocks/BAC.csv,11885,1973-02-21,2020-04-01,37730206.31942107
IWM,ETF,data/historical/etfs/IWM.csv,4993,2000-05-26,2020-04-01,36616607.41037452
QLD,ETF,data/historical/etfs/QLD.csv,3469,2006-06-21,2020-04-01,35353831.91121361
SIRI,Stock,data/historical/stocks/SIRI.csv,6434,1994-09-13,2020-04-01,31516048.057196144
GDX,ETF,data/historical/etfs/GDX.csv,3490,2006-05-22,2020-04-01,29852932.464183383
PAE,Stock,data/historical/stocks/PAE.csv,2699,2006-10-09,2020-04-01,26485836.354946278
SPXL,ETF,data/historical/etfs/SPXL.csv,2870,2008-11-05,2020-04-01,25520647.909407664
TNA,ETF,data/historical/etfs/TNA.csv,2860,2008-11-19,2020-04-01,24865751.013986014
GE,Stock,data/historical/stocks/GE.csv,14663,1962-01-02,2020-04-01,23351777.085180387
SSO,ETF,data/historical/etfs/SSO.csv,3469,2006-06-21,2020-04-01,20666080.859037187
VALE,Stock,data/historical/stocks/VALE.csv,4540,2002-03-21,2020-04-01,20540356.16740088
F,Stock,data/historical/stocks/F.csv,12064,1972-06-01,2020-04-01,19658384.350132626
KTB,Stock,data/historical/stocks/KTB.csv,3513,2002-12-24,2020-04-01,19215968.35155138
FXI,ETF,data/historical/etfs/FXI.csv,3897,2004-10-08,2020-04-01,18939635.976392098
AMAT,Stock,data/historical/stocks/AMAT.csv,10099,1980-03-17,2020-04-01,18931328.17389582
QCOM,Stock,data/historical/stocks/QCOM.csv,7128,1991-12-13,2020-04-01,18727419.823232323
NFLX,Stock,data/historical/stocks/NFLX.csv,4496,2002-05-23,2020-04-01,17780326.75711744
NOK,Stock,data/historical/stocks/NOK.csv,6546,1994-01-03,2020-04-01,17766199.037580203
PFE,Stock,data/historical/stocks/PFE.csv,12064,1972-06-01,2020-04-01,17714982.675729442
NUSA,ETF,data/historical/etfs/NUSA.csv,1918,2008-12-04,2020-04-01,17540602.910323255
V,Stock,data/historical/stocks/V.csv,3031,2008-03-19,2020-04-01,17246200.197954472
ITUB,Stock,data/historical/stocks/ITUB.csv,4558,2002-02-25,2020-04-01,16508982.009653356
